Abstand (µm),Decimals, Al Kα1,Ti Kα1,Ta Lα1,Nb Lα1,Mo Lα1,
32,4938572451992,641,1347,52,114,80,
32,5805075311864,729,1267,60,118,92,
32,6671578171736,668,1382,51,115,85,
32,7538081031608,668,1296,59,124,81,
32,840458389148,650,1263,56,109,87,
32,9271086751352,682,1306,46,100,95,
33,0137589611224,646,1324,36,107,87,
33,1004092471096,677,1293,45,99,80,
33,1870595330968,631,1375,51,121,80,
33,273709819084,626,1311,60,101,92,
33,3603601050712,680,1340,58,119,95,
33,4470103910584,661,1320,55,104,102,
33,5336606770456,710,1362,66,106,77,
33,6203109630328,711,1311,58,105,84,
33,70696124902,686,1339,53,109,92,
33,7936115350072,665,1278,35,106,87,
33,8802618209944,668,1349,42,137,99,
33,9669121069816,709,1358,38,101,71,
34,0535623929688,673,1343,49,113,75,
34,140212678956,718,1332,56,118,76,
34,2268629649432,689,1330,45,107,84,
34,3135132509304,706,1362,55,110,83,
34,4001635369176,653,1389,42,124,62,
34,4868138229048,684,1368,63,119,89,
34,573464108892,668,1307,49,111,83,
34,6601143948792,711,1377,44,124,90,
34,7467646808664,659,1379,53,89,90,
34,8334149668536,651,1358,45,98,84,
34,9200652528408,654,1370,53,103,87,
35,0067155388279,657,1280,51,106,78,
35,0933658248152,683,1302,43,113,79,
35,1800161108023,639,1347,54,95,89,
35,2666663967895,657,1302,48,115,77,
35,3533166827767,632,1367,46,131,92,
35,4399669687639,658,1420,58,116,97,
35,5266172547511,681,1342,62,115,92,
35,6132675407383,671,1282,56,105,88,
35,6999178267255,665,1310,61,120,84,
35,7865681127127,716,1323,52,110,79,
35,8732183986999,680,1326,48,137,83,
35,9598686846871,719,1315,42,110,80,
36,0465189706743,659,1341,63,110,76,
36,1331692566615,706,1354,57,111,68,
36,2198195426487,706,1352,42,116,85,
36,3064698286359,636,1351,38,130,88,
36,3931201146231,694,1326,55,122,61,
36,4797704006103,644,1351,56,110,76,
36,5664206865975,669,1328,55,130,85,
36,6530709725847,672,1331,63,107,81,
36,7397212585719,683,1338,43,121,68,
36,8263715445591,658,1316,61,101,89,
36,9130218305463,701,1311,48,129,83,
36,9996721165335,678,1377,50,122,81,
37,0863224025207,684,1392,52,108,76,
37,1729726885079,658,1315,49,98,91,
37,2596229744951,644,1396,52,105,73,
37,3462732604823,640,1275,48,98,82,
37,4329235464695,648,1404,67,115,80,
37,5195738324567,677,1295,47,115,98,
37,6062241184439,643,1432,52,100,90,
37,6928744044311,652,1362,49,105,81,
37,7795246904183,641,1361,38,117,86,
37,8661749764055,630,1337,42,137,96,
37,9528252623927,656,1384,52,107,83,
38,0394755483799,613,1359,45,109,90,
38,1261258343671,639,1338,51,105,85,
38,2127761203543,605,1416,52,121,80,
38,2994264063415,692,1316,51,118,95,
38,3860766923287,612,1282,59,109,91,
38,4727269783159,656,1337,59,95,66,
38,5593772643031,655,1278,40,114,80,
38,6460275502902,627,1299,43,107,80,
38,7326778362775,650,1344,53,109,84,
38,8193281222647,654,1336,54,111,80,
38,9059784082518,623,1309,38,105,94,
38,992628694239,683,1384,46,112,85,
39,0792789802262,681,1305,44,116,86,
39,1659292662134,636,1307,41,125,70,
39,2525795522006,659,1361,46,99,89,
39,3392298381878,675,1347,47,100,81,
39,425880124175,657,1325,46,113,72,
39,5125304101622,668,1243,49,117,83,
39,5991806961494,646,1326,61,95,76,
39,6858309821366,665,1330,46,111,85,
39,7724812681238,655,1322,46,106,73,
39,859131554111,607,1329,44,93,64,
39,9457818400982,650,1377,44,109,83,
40,0324321260854,582,1314,48,105,94,
40,1190824120726,632,1314,47,101,86,
40,2057326980598,615,1340,56,100,71,
40,292382984047,627,1331,52,107,101,
40,3790332700342,583,1368,38,111,87,
40,4656835560214,600,1343,58,103,68,
40,5523338420086,612,1339,53,104,91,
40,6389841279958,593,1357,52,117,90,
40,725634413983,592,1372,46,110,90,
40,8122846999702,633,1333,51,121,79,
40,8989349859574,598,1355,55,106,83,
40,9855852719446,653,1328,51,96,77,
41,0722355579318,618,1377,51,102,83,
41,158885843919,574,1342,55,105,82,
41,2455361299062,647,1426,53,106,70,
41,3321864158934,587,1355,49,101,73,
41,4188367018806,576,1380,46,107,79,
41,5054869878678,627,1296,33,119,94,
41,592137273855,645,1379,36,121,84,
41,6787875598422,608,1346,45,99,60,
41,7654378458294,645,1298,54,122,87,
41,8520881318166,665,1359,56,123,90,
41,9387384178038,625,1278,43,117,82,
42,025388703791,675,1340,57,104,83,
42,1120389897782,613,1339,38,107,92,
42,1986892757654,630,1304,61,104,75,
42,2853395617526,635,1331,56,124,74,
42,3719898477398,610,1314,42,117,94,
42,458640133727,622,1357,40,91,86,
42,5452904197142,630,1341,37,110,81,
42,6319407057014,609,1398,43,101,78,
42,7185909916886,572,1342,49,105,86,
42,8052412776757,610,1327,49,98,78,
42,891891563663,593,1334,40,97,96,
42,9785418496501,648,1362,47,114,81,
43,0651921356374,584,1340,52,99,77,
43,1518424216245,597,1365,49,106,78,
43,2384927076117,603,1340,52,111,88,
