Abstand (µm),Decimals,Al Kα1,Ti Kα1,Nb Lα1,Ta Lα1,
31,7090830524961,366,760,53,39,
31,8094282520293,389,799,70,30,
31,9097734515625,355,799,71,40,
32,0101186510957,368,847,63,26,
32,1104638506289,373,807,64,26,
32,2108090501622,378,801,69,26,
32,3111542496954,375,815,67,29,
32,4114994492286,367,814,56,41,
32,5118446487618,372,816,62,30,
32,612189848295,329,830,61,30,
32,7125350478282,383,795,66,34,
32,8128802473615,354,850,51,29,
32,9132254468947,334,811,63,26,
33,0135706464279,352,881,57,22,
33,1139158459611,374,863,60,24,
33,2142610454943,369,888,64,28,
33,3146062450275,353,800,65,35,
33,4149514445607,378,820,70,30,
33,515296644094,390,789,53,30,
33,6156418436272,394,848,78,22,
33,7159870431604,379,850,62,19,
33,8163322426936,374,755,56,30,
33,9166774422268,360,741,67,34,
34,0170226417601,376,777,51,37,
34,1173678412933,367,803,50,26,
34,2177130408265,387,826,57,33,
34,3180582403597,349,857,71,21,
34,4184034398929,366,812,64,24,
34,5187486394261,344,829,61,24,
34,6190938389593,342,806,71,29,
34,7194390384926,308,850,65,24,
34,8197842380258,339,834,64,28,
34,920129437559,353,820,69,23,
35,0204746370922,338,871,67,20,
35,1208198366254,317,774,62,18,
35,2211650361586,312,824,65,23,
35,3215102356918,332,823,61,20,
35,4218554352251,297,817,76,14,
35,5222006347583,316,812,63,26,
35,6225458342915,339,859,59,30,
35,7228910338247,303,862,57,23,
35,8232362333579,310,809,72,29,
35,9235814328911,339,876,56,23,
36,0239266324244,304,845,65,24,
36,1242718319576,345,787,50,21,
36,2246170314908,328,843,62,21,
36,324962231024,304,826,54,22,
36,4253074305572,326,867,73,25,
36,5256526300904,315,882,56,16,
36,6259978296236,359,879,55,20,
36,7263430291569,338,808,53,23,
36,8266882286901,324,856,52,22,
36,9270334282233,333,914,65,23,
37,0273786277565,320,833,70,18,
37,1277238272897,346,831,71,19,
37,2280690268229,339,853,42,21,
37,3284142263561,328,877,63,27,
37,4287594258894,350,889,60,27,
37,5291046254226,367,830,46,24,
37,6294498249558,335,847,66,20,
37,729795024489,335,844,70,18,
37,8301402240222,331,832,61,23,
37,9304854235554,381,815,80,22,
38,0308306230887,346,881,63,23,
38,1311758226219,407,856,79,29,
38,2315210221551,398,839,66,17,
38,3318662216883,357,798,68,11,
38,4322114212215,397,807,71,17,
38,5325566207547,406,805,65,30,
38,632901820288,375,809,67,20,
38,7332470198212,377,805,66,24,
38,8335922193544,391,788,65,19,
38,9339374188876,392,812,58,22,
39,0342826184208,386,787,68,21,
39,134627817954,388,830,68,20,
39,2349730174872,340,811,70,16,
39,3353182170205,327,823,69,25,
39,4356634165537,374,813,66,25,
39,5360086160869,402,787,52,23,
39,6363538156201,379,804,73,21,
39,7366990151533,350,803,52,15,
39,8370442146865,365,821,67,25,
39,9373894142198,370,801,57,21,
40,037734613753,373,819,70,20,
40,1380798132862,366,829,66,17,
40,2384250128194,359,846,67,29,
40,3387702123526,351,821,75,27,
40,4391154118858,360,807,52,27,
40,5394606114191,347,813,58,21,
40,6398058109523,376,846,71,21,
40,7401510104855,353,837,56,18,
40,8404962100187,355,778,54,24,
40,9408414095519,355,808,64,21,
41,0411866090851,322,800,58,29,
41,1415318086183,347,815,70,17,
41,2418770081516,334,813,71,17,
41,3422222076848,348,830,65,16,
41,442567407218,348,792,69,17,
41,5429126067512,363,828,55,19,
41,6432578062844,335,782,73,18,
41,7436030058176,349,803,59,17,
41,8439482053509,331,784,62,22,
41,9442934048841,364,780,55,24,
