Abstand (µm),Decimals,Al Kα1,Ti Kα1,Nb Lα1,Ta Lα1,
26,7379481887089,122,196,15,21,
26,8411835099008,110,209,20,28,
26,9444188310928,116,195,16,17,
27,0476541522847,108,207,11,22,
27,1508894734766,114,211,16,21,
27,2541247946685,114,219,12,24,
27,3573601158605,126,215,22,17,
27,4605954370524,115,214,22,23,
27,5638307582443,120,215,17,16,
27,6670660794362,115,196,15,21,
27,7703014006282,125,206,16,18,
27,8735367218201,117,189,20,20,
27,976772043012,124,207,20,28,
28,0800073642039,122,225,25,29,
28,1832426853959,120,190,16,16,
28,2864780065878,118,215,21,17,
28,3897133277797,109,206,21,20,
28,4929486489716,126,242,15,21,
28,5961839701636,130,219,12,12,
28,6994192913555,122,222,18,28,
28,8026546125474,124,221,20,18,
28,9058899337394,124,242,18,22,
29,0091252549313,114,202,15,22,
29,1123605761232,123,228,24,12,
29,2155958973151,138,226,15,20,
29,3188312185071,119,184,28,16,
29,422066539699,116,229,19,23,
29,5253018608909,114,246,24,7,
29,6285371820828,129,218,21,13,
29,7317725032748,131,207,29,13,
29,8350078244667,125,237,26,14,
29,9382431456586,119,229,18,16,
30,0414784668505,125,229,30,17,
30,1447137880425,137,219,29,16,
30,2479491092344,120,229,23,11,
30,3511844304263,150,264,25,11,
30,4544197516183,118,217,15,12,
30,5576550728102,121,222,26,15,
30,6608903940021,107,244,29,15,
30,764125715194,133,227,20,13,
30,867361036386,128,218,18,11,
30,9705963575779,146,238,23,11,
31,0738316787698,138,214,27,10,
31,1770669999617,120,237,14,16,
31,2803023211537,136,232,22,24,
31,3835376423456,135,222,22,14,
31,4867729635375,125,211,17,13,
31,5900082847294,136,222,21,13,
31,6932436059214,133,239,20,11,
31,7964789271133,150,252,24,13,
31,8997142483052,125,213,16,13,
32,0029495694971,142,245,15,15,
32,1061848906891,144,265,26,17,
32,209420211881,147,243,23,11,
32,3126555330729,122,219,27,13,
32,4158908542649,125,244,26,15,
32,5191261754568,127,221,26,14,
32,6223614966487,136,238,20,10,
32,7255968178406,140,249,26,8,
32,8288321390325,122,240,18,7,
32,9320674602245,128,234,23,12,
33,0353027814164,127,245,21,12,
33,1385381026083,123,258,20,8,
33,2417734238003,118,263,21,8,
33,3450087449922,116,247,17,8,
33,4482440661841,127,242,17,4,
33,551479387376,139,235,29,19,
33,654714708568,118,241,22,15,
33,7579500297599,133,254,16,9,
33,8611853509518,105,251,23,10,
33,9644206721438,127,248,31,12,
34,0676559933357,128,253,19,14,
34,1708913145276,141,238,20,7,
34,2741266357195,125,271,29,10,
34,3773619569115,123,250,28,8,
34,4805972781034,134,246,29,8,
34,5838325992953,133,233,23,6,
34,6870679204872,128,228,20,9,
34,7903032416792,118,254,19,4,
34,8935385628711,128,240,16,4,
34,996773884063,139,287,23,14,
35,1000092052549,116,248,15,3,
35,2032445264469,142,231,19,9,
35,3064798476388,122,223,29,4,
35,4097151688307,138,269,18,8,
35,5129504900226,133,245,30,5,
35,6161858112146,126,245,20,10,
35,7194211324065,134,239,20,13,
35,8226564535984,131,242,20,6,
35,9258917747904,121,257,24,7,
36,0291270959823,140,240,17,5,
36,1323624171742,124,278,20,4,
36,2355977383661,134,253,28,8,
36,338833059558,141,269,19,7,
36,44206838075,145,269,20,8,
36,5453037019419,135,251,19,6,
36,6485390231338,143,255,18,5,
36,7517743443258,119,239,17,7,
36,8550096655177,131,258,20,5,
36,9582449867096,149,243,16,4,
37,0614803079015,137,234,19,6,
37,1647156290935,135,234,21,4,
37,2679509502854,159,244,26,6,
37,3711862714773,122,244,30,9,
37,4744215926692,120,256,21,7,
37,5776569138612,133,229,21,5,
37,6808922350531,126,247,23,7,
