Abstand (µm),Decimals,Ti Kα1,Al Kα1,Ta Lα1,Nb Lα1,
36,4306108212093,484,245,14,45,
36,5485092381064,439,246,29,35,
36,6664076550035,392,242,20,40,
36,7843060719006,440,278,21,50,
36,9022044887977,456,247,14,46,
37,0201029056949,445,265,18,43,
37,138001322592,439,257,22,37,
37,2558997394891,451,282,25,44,
37,3737981563862,418,251,16,39,
37,4916965732833,435,277,25,45,
37,6095949901805,454,235,24,31,
37,7274934070776,431,256,22,40,
37,8453918239747,488,223,30,38,
37,9632902408718,433,220,18,42,
38,0811886577689,453,253,15,24,
38,1990870746661,412,279,18,41,
38,3169854915632,428,273,24,40,
38,4348839084603,428,268,21,39,
38,5527823253574,438,273,19,44,
38,6706807422545,477,263,16,41,
38,7885791591516,463,258,18,44,
38,9064775760488,460,263,22,48,
39,0243759929459,478,249,14,43,
39,142274409843,451,241,18,47,
39,2601728267401,428,251,22,35,
39,3780712436372,394,247,15,40,
39,4959696605343,467,234,12,43,
39,6138680774315,434,244,16,39,
39,7317664943286,452,255,19,50,
39,8496649112257,458,279,25,35,
39,9675633281228,446,274,15,41,
40,0854617450199,457,245,18,45,
40,203360161917,454,249,23,55,
40,3212585788142,468,229,18,48,
40,4391569957113,439,262,14,45,
40,5570554126084,436,230,13,34,
40,6749538295055,470,251,12,41,
40,7928522464026,465,244,9,29,
40,9107506632998,446,243,15,53,
41,0286490801969,445,257,17,48,
41,146547497094,439,241,18,40,
41,2644459139911,508,243,21,39,
41,3823443308882,464,283,16,38,
41,5002427477853,456,262,11,34,
41,6181411646825,480,265,14,47,
41,7360395815796,483,267,15,44,
41,8539379984767,459,277,12,44,
41,9718364153738,472,258,11,45,
42,0897348322709,475,253,14,35,
42,207633249168,453,253,12,33,
42,3255316660652,439,239,13,39,
42,4434300829623,487,264,17,45,
42,5613284998594,467,248,11,55,
42,6792269167565,436,229,22,40,
42,7971253336536,448,251,11,48,
42,9150237505507,467,268,10,46,
43,0329221674479,431,259,17,38,
43,150820584345,487,232,17,51,
43,2687190012421,440,257,18,44,
43,3866174181392,464,252,13,38,
43,5045158350363,458,266,18,47,
43,6224142519334,471,274,16,50,
43,7403126688306,488,238,20,33,
43,8582110857277,468,267,20,48,
43,9761095026248,460,265,20,40,
44,0940079195219,428,248,16,36,
44,211906336419,451,254,18,30,
44,3298047533162,468,247,10,48,
44,4477031702133,514,296,18,46,
44,5656015871104,490,259,9,44,
44,6835000040075,444,271,17,39,
44,8013984209046,481,242,17,41,
44,9192968378017,472,251,16,44,
45,0371952546989,466,275,17,30,
45,155093671596,450,248,13,49,
45,2729920884931,420,233,12,54,
45,3908905053902,473,246,14,43,
45,5087889222873,467,244,7,32,
45,6266873391844,439,244,11,44,
45,7445857560816,444,239,16,45,
45,8624841729787,424,263,11,49,
45,9803825898758,460,225,17,50,
46,0982810067729,478,253,14,36,
46,21617942367,451,229,13,38,
46,3340778405671,436,280,12,37,
46,4519762574643,462,247,13,33,
46,5698746743614,500,251,13,42,
46,6877730912585,475,256,19,39,
46,8056715081556,450,255,15,48,
46,9235699250527,486,228,8,40,
47,0414683419499,514,265,15,38,
47,159366758847,415,266,10,45,
47,2772651757441,482,259,12,53,
47,3951635926412,472,269,11,47,
47,5130620095383,413,265,11,40,
47,6309604264354,465,244,11,39,
47,7488588433326,467,244,11,32,
47,8667572602297,456,261,9,42,
47,9846556771268,497,251,4,39,
48,1025540940239,419,244,14,37,
48,220452510921,498,270,8,35,
48,3383509278181,468,248,12,44,
48,4562493447153,440,282,14,38,
48,5741477616124,460,277,6,32,
48,6920461785095,461,233,14,35,
48,8099445954066,447,250,12,42,
48,9278430123037,508,231,8,60,
49,0457414292008,458,231,9,43,
49,163639846098,417,261,11,45,
49,2815382629951,453,219,11,37,
49,3994366798922,484,232,16,34,
